producer_price_index_item,month_of_forecast,year_of_forecast,year_being_forecast,attribute,forecast_percent_change
Farm-level eggs,March,2006,2006,Upper bound of prediction interval,30.9
Farm-level milk,August,2006,2006,Lower bound of prediction interval,-22.2
Farm-level eggs,February,2006,2006,Lower bound of prediction interval,-4.0
Farm-level milk,July,2006,2006,Mid point of prediction interval,-18.4
Farm-level milk,July,2006,2006,Lower bound of prediction interval,-24.7
Farm-level milk,June,2006,2006,Upper bound of prediction interval,-7.1
Farm-level eggs,April,2006,2006,Lower bound of prediction interval,-9.5
Farm-level eggs,April,2006,2006,Mid point of prediction interval,8.4
Farm-level eggs,April,2006,2006,Upper bound of prediction interval,32.5
Farm-level eggs,May,2006,2006,Lower bound of prediction interval,-5.3
Farm-level milk,July,2006,2006,Upper bound of prediction interval,-10.8
Wholesale wheat flour,June,2007,2007,Mid point of prediction interval,6.9
Wholesale wheat flour,June,2007,2007,Upper bound of prediction interval,13.3
Wholesale wheat flour,July,2007,2007,Lower bound of prediction interval,5.0
Wholesale wheat flour,July,2007,2007,Mid point of prediction interval,10.0
Wholesale wheat flour,July,2007,2007,Upper bound of prediction interval,15.5
Wholesale wheat flour,August,2007,2007,Lower bound of prediction interval,7.9
Wholesale wheat flour,August,2007,2007,Mid point of prediction interval,11.9
Wholesale wheat flour,August,2007,2007,Upper bound of prediction interval,16.2
Wholesale wheat flour,November,2007,2007,Lower bound of prediction interval,20.5
Wholesale wheat flour,September,2007,2007,Mid point of prediction interval,13.9
Wholesale wheat flour,September,2007,2007,Upper bound of prediction interval,17.2
Wholesale wheat flour,October,2007,2007,Upper bound of prediction interval,22.9
Wholesale wheat flour,October,2007,2007,Mid point of prediction interval,20.0
Wholesale wheat flour,October,2007,2007,Lower bound of prediction interval,17.4
Wholesale wheat flour,November,2007,2007,Mid point of prediction interval,22.1
Wholesale pork,September,2007,2008,Upper bound of prediction interval,29.9
Wholesale wheat flour,September,2007,2007,Lower bound of prediction interval,10.8
Wholesale beef,August,2007,2008,Mid point of prediction interval,-4.0
Wholesale wheat flour,November,2007,2007,Upper bound of prediction interval,24.0
Wholesale beef,August,2007,2008,Upper bound of prediction interval,13.1
Wholesale pork,August,2007,2008,Lower bound of prediction interval,-19.4
Wholesale pork,July,2007,2008,Upper bound of prediction interval,32.9
Wholesale pork,July,2007,2008,Mid point of prediction interval,0.5
Wholesale pork,July,2007,2008,Lower bound of prediction interval,-23.9
Wholesale beef,December,2007,2008,Upper bound of prediction interval,7.8
Wholesale beef,December,2007,2008,Mid point of prediction interval,-5.3
Wholesale beef,December,2007,2008,Lower bound of prediction interval,-16.6
Wholesale beef,November,2007,2008,Upper bound of prediction interval,11.7
Wholesale beef,November,2007,2008,Mid point of prediction interval,-3.1
Wholesale pork,August,2007,2008,Mid point of prediction interval,5.0
Wholesale beef,November,2007,2008,Lower bound of prediction interval,-15.3
Wholesale beef,October,2007,2008,Mid point of prediction interval,0.5
Wholesale beef,October,2007,2008,Lower bound of prediction interval,-12.9
Wholesale beef,September,2007,2008,Upper bound of prediction interval,15.6
Wholesale beef,September,2007,2008,Mid point of prediction interval,-0.6
Wholesale beef,September,2007,2008,Lower bound of prediction interval,-14.5
Wholesale beef,July,2007,2008,Lower bound of prediction interval,-13.9
Wholesale beef,July,2007,2008,Mid point of prediction interval,1.7
Wholesale beef,July,2007,2008,Upper bound of prediction interval,20.0
Wholesale beef,August,2007,2008,Lower bound of prediction interval,-18.4
Wholesale beef,October,2007,2008,Upper bound of prediction interval,16.2
Farm-level cattle,December,2007,2008,Upper bound of prediction interval,14.0
Farm-level cattle,December,2007,2008,Mid point of prediction interval,-0.2
Farm-level cattle,December,2007,2008,Lower bound of prediction interval,-12.6
Wholesale wheat flour,December,2007,2007,Lower bound of prediction interval,20.5
Wholesale wheat flour,December,2007,2007,Mid point of prediction interval,21.3
Wholesale wheat flour,December,2007,2007,Upper bound of prediction interval,22.1
Farm-level cattle,July,2007,2008,Lower bound of prediction interval,-17.6
Farm-level cattle,July,2007,2008,Mid point of prediction interval,-2.3
Farm-level cattle,July,2007,2008,Upper bound of prediction interval,15.7
Farm-level cattle,August,2007,2008,Lower bound of prediction interval,-15.9
Wholesale pork,September,2007,2008,Mid point of prediction interval,0.2
Wholesale pork,September,2007,2008,Lower bound of prediction interval,-21.4
Wholesale pork,August,2007,2008,Upper bound of prediction interval,37.8
Farm-level cattle,August,2007,2008,Mid point of prediction interval,-0.4
Farm-level cattle,August,2007,2008,Upper bound of prediction interval,17.2
Farm-level cattle,September,2007,2008,Lower bound of prediction interval,-15.9
Farm-level cattle,September,2007,2008,Mid point of prediction interval,-1.5
Farm-level cattle,September,2007,2008,Upper bound of prediction interval,15.3
Farm-level cattle,October,2007,2008,Lower bound of prediction interval,-15.3
Farm-level cattle,October,2007,2008,Mid point of prediction interval,-1.4
Farm-level cattle,October,2007,2008,Upper bound of prediction interval,14.5
Farm-level cattle,November,2007,2008,Lower bound of prediction interval,-14.3
Farm-level cattle,November,2007,2008,Mid point of prediction interval,-0.9
Farm-level cattle,November,2007,2008,Upper bound of prediction interval,14.0
Wholesale wheat flour,June,2007,2007,Lower bound of prediction interval,1.2
Wholesale wheat flour,May,2007,2007,Upper bound of prediction interval,14.1
Farm-level eggs,July,2007,2007,Upper bound of prediction interval,33.0
Wholesale wheat flour,May,2007,2007,Lower bound of prediction interval,-0.5
Farm-level eggs,August,2007,2007,Mid point of prediction interval,31.1
Farm-level eggs,August,2007,2007,Upper bound of prediction interval,45.6
Farm-level eggs,September,2007,2007,Lower bound of prediction interval,30.0
Farm-level eggs,September,2007,2007,Mid point of prediction interval,40.0
Farm-level eggs,September,2007,2007,Upper bound of prediction interval,52.7
Farm-level eggs,October,2007,2007,Lower bound of prediction interval,42.3
Farm-level eggs,October,2007,2007,Mid point of prediction interval,51.2
Farm-level eggs,October,2007,2007,Upper bound of prediction interval,62.6
Farm-level eggs,August,2007,2007,Lower bound of prediction interval,19.9
Farm-level eggs,November,2007,2007,Lower bound of prediction interval,46.4
Farm-level wheat,January,2007,2007,Mid point of prediction interval,9.1
Farm-level wheat,January,2007,2007,Upper bound of prediction interval,38.9
Farm-level wheat,February,2007,2007,Lower bound of prediction interval,-15.5
Farm-level wheat,February,2007,2007,Mid point of prediction interval,4.4
Farm-level wheat,February,2007,2007,Upper bound of prediction interval,29.3
Farm-level wheat,March,2007,2007,Lower bound of prediction interval,-7.4
Farm-level wheat,March,2007,2007,Mid point of prediction interval,10.8
Farm-level wheat,March,2007,2007,Upper bound of prediction interval,34.2
Farm-level wheat,January,2007,2007,Lower bound of prediction interval,-14.1
Farm-level wheat,April,2007,2007,Lower bound of prediction interval,-3.6
Wholesale pork,October,2007,2008,Lower bound of prediction interval,-22.0
Farm-level eggs,July,2007,2007,Lower bound of prediction interval,7.1
Farm-level vegetables,August,2007,2007,Upper bound of prediction interval,12.2
Farm-level vegetables,September,2007,2007,Lower bound of prediction interval,-4.2
Farm-level vegetables,September,2007,2007,Mid point of prediction interval,1.9
Farm-level vegetables,September,2007,2007,Upper bound of prediction interval,9.2
Farm-level vegetables,October,2007,2007,Lower bound of prediction interval,-2.4
Farm-level vegetables,October,2007,2007,Mid point of prediction interval,2.6
Farm-level vegetables,October,2007,2007,Upper bound of prediction interval,8.7
Farm-level vegetables,November,2007,2007,Lower bound of prediction interval,2.1
Farm-level eggs,July,2007,2007,Mid point of prediction interval,18.4
Farm-level vegetables,November,2007,2007,Mid point of prediction interval,6.1
Farm-level vegetables,December,2007,2007,Lower bound of prediction interval,3.8
Farm-level vegetables,December,2007,2007,Mid point of prediction interval,5.8
Farm-level vegetables,December,2007,2007,Upper bound of prediction interval,8.4
Farm-level eggs,May,2007,2007,Mid point of prediction interval,16.5
Farm-level eggs,May,2007,2007,Upper bound of prediction interval,37.0
Farm-level eggs,June,2007,2007,Lower bound of prediction interval,7.1
Farm-level eggs,June,2007,2007,Mid point of prediction interval,21.0
Farm-level eggs,June,2007,2007,Upper bound of prediction interval,39.7
Farm-level vegetables,November,2007,2007,Upper bound of prediction interval,11.2
Wholesale wheat flour,May,2007,2007,Mid point of prediction interval,6.3
Farm-level wheat,April,2007,2007,Mid point of prediction interval,12.5
Farm-level wheat,May,2007,2007,Lower bound of prediction interval,0.0
Farm-level wheat,December,2007,2007,Upper bound of prediction interval,45.9
Farm-level eggs,November,2007,2007,Mid point of prediction interval,52.2
Farm-level eggs,November,2007,2007,Upper bound of prediction interval,59.7
Farm-level eggs,December,2007,2007,Lower bound of prediction interval,53.3
Farm-level eggs,December,2007,2007,Mid point of prediction interval,57.0
Farm-level eggs,December,2007,2007,Upper bound of prediction interval,61.7
Wholesale wheat flour,January,2007,2007,Lower bound of prediction interval,-8.2
Wholesale wheat flour,January,2007,2007,Mid point of prediction interval,3.7
Farm-level wheat,December,2007,2007,Mid point of prediction interval,43.9
Wholesale wheat flour,January,2007,2007,Upper bound of prediction interval,17.0
Wholesale wheat flour,February,2007,2007,Mid point of prediction interval,1.8
Wholesale wheat flour,February,2007,2007,Upper bound of prediction interval,13.2
Wholesale wheat flour,March,2007,2007,Lower bound of prediction interval,-7.0
Wholesale wheat flour,March,2007,2007,Mid point of prediction interval,1.6
Wholesale wheat flour,March,2007,2007,Upper bound of prediction interval,11.6
Wholesale wheat flour,April,2007,2007,Lower bound of prediction interval,-4.0
Wholesale wheat flour,April,2007,2007,Mid point of prediction interval,3.8
Wholesale wheat flour,April,2007,2007,Upper bound of prediction interval,12.4
Wholesale wheat flour,February,2007,2007,Lower bound of prediction interval,-8.2
Farm-level wheat,April,2007,2007,Upper bound of prediction interval,33.0
Farm-level wheat,December,2007,2007,Lower bound of prediction interval,42.1
Farm-level wheat,November,2007,2007,Mid point of prediction interval,45.3
Farm-level wheat,May,2007,2007,Mid point of prediction interval,14.0
Farm-level wheat,May,2007,2007,Upper bound of prediction interval,31.4
Farm-level wheat,June,2007,2007,Lower bound of prediction interval,3.3
Farm-level wheat,June,2007,2007,Mid point of prediction interval,15.2
Farm-level wheat,June,2007,2007,Upper bound of prediction interval,29.4
Farm-level wheat,July,2007,2007,Lower bound of prediction interval,11.6
Farm-level wheat,July,2007,2007,Mid point of prediction interval,21.9
Farm-level wheat,July,2007,2007,Upper bound of prediction interval,34.6
Farm-level wheat,November,2007,2007,Upper bound of prediction interval,49.9
Farm-level wheat,August,2007,2007,Lower bound of prediction interval,16.9
Farm-level wheat,August,2007,2007,Upper bound of prediction interval,36.0
Farm-level wheat,September,2007,2007,Lower bound of prediction interval,23.5
Farm-level wheat,September,2007,2007,Mid point of prediction interval,30.5
Farm-level wheat,September,2007,2007,Upper bound of prediction interval,38.9
Farm-level wheat,October,2007,2007,Lower bound of prediction interval,36.4
Farm-level wheat,October,2007,2007,Mid point of prediction interval,42.6
Farm-level wheat,October,2007,2007,Upper bound of prediction interval,50.1
Farm-level wheat,November,2007,2007,Lower bound of prediction interval,41.2
Farm-level wheat,August,2007,2007,Mid point of prediction interval,25.6
Wholesale pork,October,2007,2008,Mid point of prediction interval,-1.8
Wholesale dairy,October,2007,2008,Upper bound of prediction interval,30.0
Wholesale pork,November,2007,2008,Lower bound of prediction interval,-22.9
Farm-level vegetables,October,2007,2008,Mid point of prediction interval,-5.0
Farm-level vegetables,October,2007,2008,Lower bound of prediction interval,-19.1
Farm-level vegetables,September,2007,2008,Upper bound of prediction interval,14.0
Farm-level vegetables,September,2007,2008,Mid point of prediction interval,-3.8
Farm-level vegetables,September,2007,2008,Lower bound of prediction interval,-18.4
Farm-level vegetables,August,2007,2008,Upper bound of prediction interval,14.6
Farm-level vegetables,August,2007,2008,Mid point of prediction interval,-3.6
Farm-level vegetables,August,2007,2008,Lower bound of prediction interval,-19.0
Farm-level vegetables,July,2007,2008,Upper bound of prediction interval,14.7
Farm-level vegetables,July,2007,2008,Mid point of prediction interval,-4.2
Farm-level vegetables,July,2007,2008,Lower bound of prediction interval,-20.0
Farm-level soybeans,July,2007,2008,Lower bound of prediction interval,-39.9
Farm-level fruits,December,2007,2008,Upper bound of prediction interval,26.4
Farm-level fruits,December,2007,2008,Mid point of prediction interval,-0.7
Farm-level fruits,December,2007,2008,Lower bound of prediction interval,-22.2
Farm-level fruits,November,2007,2008,Upper bound of prediction interval,26.9
Farm-level fruits,November,2007,2008,Mid point of prediction interval,-3.1
Farm-level fruits,November,2007,2008,Lower bound of prediction interval,-25.6
Farm-level fruits,October,2007,2008,Upper bound of prediction interval,26.8
Farm-level vegetables,October,2007,2008,Upper bound of prediction interval,12.6
Farm-level vegetables,November,2007,2008,Lower bound of prediction interval,-19.3
Farm-level vegetables,November,2007,2008,Mid point of prediction interval,-4.5
Farm-level vegetables,November,2007,2008,Upper bound of prediction interval,13.0
Wholesale dairy,July,2007,2008,Lower bound of prediction interval,-13.1
Wholesale dairy,July,2007,2008,Mid point of prediction interval,6.5
Wholesale dairy,July,2007,2008,Upper bound of prediction interval,30.7
Wholesale dairy,August,2007,2008,Lower bound of prediction interval,-11.8
Wholesale dairy,August,2007,2008,Mid point of prediction interval,6.7
Wholesale dairy,August,2007,2008,Upper bound of prediction interval,28.9
Wholesale dairy,September,2007,2008,Lower bound of prediction interval,-10.4
Wholesale dairy,September,2007,2008,Mid point of prediction interval,7.0
Wholesale dairy,September,2007,2008,Upper bound of prediction interval,28.4
Farm-level fruits,October,2007,2008,Mid point of prediction interval,-4.5
Wholesale dairy,October,2007,2008,Lower bound of prediction interval,-7.0
Wholesale dairy,November,2007,2008,Lower bound of prediction interval,-8.0
Wholesale dairy,November,2007,2008,Mid point of prediction interval,7.2
Wholesale dairy,November,2007,2008,Upper bound of prediction interval,25.3
Wholesale dairy,December,2007,2008,Lower bound of prediction interval,-7.4
Wholesale dairy,December,2007,2008,Mid point of prediction interval,6.4
Wholesale dairy,December,2007,2008,Upper bound of prediction interval,22.5
Farm-level vegetables,December,2007,2008,Upper bound of prediction interval,13.0
Farm-level vegetables,December,2007,2008,Mid point of prediction interval,-4.3
Farm-level vegetables,December,2007,2008,Lower bound of prediction interval,-18.7
Wholesale dairy,October,2007,2008,Mid point of prediction interval,9.9
Farm-level wheat,July,2007,2008,Lower bound of prediction interval,-28.0
Farm-level fruits,October,2007,2008,Lower bound of prediction interval,-28.0
Farm-level fruits,September,2007,2008,Mid point of prediction interval,-5.4
Wholesale fats and oils,December,2007,2008,Upper bound of prediction interval,61.6
Wholesale fats and oils,December,2007,2008,Mid point of prediction interval,32.8
Wholesale fats and oils,December,2007,2008,Lower bound of prediction interval,10.3
Wholesale fats and oils,November,2007,2008,Upper bound of prediction interval,44.9
Wholesale fats and oils,November,2007,2008,Mid point of prediction interval,17.9
Wholesale fats and oils,November,2007,2008,Lower bound of prediction interval,-3.8
Wholesale fats and oils,October,2007,2008,Upper bound of prediction interval,20.0
Wholesale fats and oils,October,2007,2008,Mid point of prediction interval,2.0
Wholesale fats and oils,October,2007,2008,Lower bound of prediction interval,-13.0
Wholesale fats and oils,September,2007,2008,Upper bound of prediction interval,24.4
Wholesale fats and oils,September,2007,2008,Mid point of prediction interval,5.0
Wholesale fats and oils,September,2007,2008,Lower bound of prediction interval,-11.6
Wholesale fats and oils,August,2007,2008,Upper bound of prediction interval,25.4
Wholesale fats and oils,August,2007,2008,Mid point of prediction interval,4.5
Wholesale fats and oils,August,2007,2008,Lower bound of prediction interval,-12.7
Wholesale fats and oils,July,2007,2008,Upper bound of prediction interval,22.9
Wholesale fats and oils,July,2007,2008,Mid point of prediction interval,1.9
Wholesale fats and oils,July,2007,2008,Lower bound of prediction interval,-15.3
Farm-level vegetables,August,2007,2007,Mid point of prediction interval,3.4
Farm-level soybeans,December,2007,2008,Upper bound of prediction interval,79.0
Farm-level soybeans,December,2007,2008,Mid point of prediction interval,27.8
Farm-level soybeans,December,2007,2008,Lower bound of prediction interval,-8.8
Farm-level soybeans,November,2007,2008,Upper bound of prediction interval,62.8
Farm-level fruits,September,2007,2008,Lower bound of prediction interval,-30.1
Farm-level fruits,August,2007,2008,Upper bound of prediction interval,34.8
Farm-level fruits,August,2007,2008,Mid point of prediction interval,-1.8
Farm-level fruits,August,2007,2008,Lower bound of prediction interval,-27.9
Farm-level fruits,July,2007,2008,Upper bound of prediction interval,34.7
Farm-level fruits,July,2007,2008,Mid point of prediction interval,-3.3
Farm-level fruits,July,2007,2008,Lower bound of prediction interval,-30.0
Farm-level soybeans,July,2007,2008,Mid point of prediction interval,-6.3
Farm-level soybeans,July,2007,2008,Upper bound of prediction interval,49.7
Farm-level fruits,September,2007,2008,Upper bound of prediction interval,28.1
Farm-level soybeans,August,2007,2008,Lower bound of prediction interval,-27.0
Farm-level soybeans,August,2007,2008,Upper bound of prediction interval,74.4
Farm-level soybeans,September,2007,2008,Lower bound of prediction interval,-30.4
Farm-level soybeans,September,2007,2008,Mid point of prediction interval,4.2
Farm-level soybeans,September,2007,2008,Upper bound of prediction interval,57.6
Farm-level soybeans,October,2007,2008,Lower bound of prediction interval,-25.2
Farm-level soybeans,October,2007,2008,Mid point of prediction interval,9.7
Farm-level soybeans,October,2007,2008,Upper bound of prediction interval,64.7
Farm-level soybeans,November,2007,2008,Lower bound of prediction interval,-21.0
Farm-level soybeans,November,2007,2008,Mid point of prediction interval,12.4
Farm-level soybeans,August,2007,2008,Mid point of prediction interval,12.9
Farm-level wheat,July,2007,2008,Mid point of prediction interval,3.7
Farm-level wheat,July,2007,2008,Upper bound of prediction interval,48.6
Farm-level wheat,August,2007,2008,Lower bound of prediction interval,-21.8
Farm-level eggs,July,2007,2008,Mid point of prediction interval,-12.9
Farm-level eggs,July,2007,2008,Upper bound of prediction interval,12.0
Farm-level eggs,August,2007,2008,Lower bound of prediction interval,-35.6
Farm-level eggs,August,2007,2008,Mid point of prediction interval,-15.0
Farm-level eggs,August,2007,2008,Upper bound of prediction interval,11.7
Farm-level eggs,September,2007,2008,Lower bound of prediction interval,-35.1
Farm-level eggs,September,2007,2008,Mid point of prediction interval,-13.5
Farm-level eggs,September,2007,2008,Upper bound of prediction interval,15.2
Farm-level eggs,October,2007,2008,Lower bound of prediction interval,-34.9
Farm-level eggs,October,2007,2008,Mid point of prediction interval,-12.4
Farm-level eggs,October,2007,2008,Upper bound of prediction interval,18.7
Farm-level eggs,November,2007,2008,Lower bound of prediction interval,-37.0
Farm-level eggs,November,2007,2008,Mid point of prediction interval,-15.3
Farm-level eggs,November,2007,2008,Upper bound of prediction interval,14.2
Farm-level eggs,December,2007,2008,Lower bound of prediction interval,-35.3
Farm-level eggs,December,2007,2008,Mid point of prediction interval,-13.4
Farm-level eggs,December,2007,2008,Upper bound of prediction interval,16.4
Farm-level milk,July,2007,2008,Lower bound of prediction interval,-27.0
Wholesale wheat flour,December,2007,2008,Upper bound of prediction interval,60.4
Farm-level eggs,July,2007,2008,Lower bound of prediction interval,-32.8
Wholesale poultry,December,2007,2008,Upper bound of prediction interval,10.2
Wholesale poultry,December,2007,2008,Mid point of prediction interval,-2.7
Wholesale poultry,December,2007,2008,Lower bound of prediction interval,-14.1
Wholesale pork,November,2007,2008,Mid point of prediction interval,-4.8
Wholesale pork,November,2007,2008,Upper bound of prediction interval,18.6
Wholesale pork,December,2007,2008,Lower bound of prediction interval,-21.6
Wholesale pork,December,2007,2008,Mid point of prediction interval,-4.5
Wholesale pork,December,2007,2008,Upper bound of prediction interval,16.7
Wholesale poultry,July,2007,2008,Lower bound of prediction interval,-16.9
Wholesale poultry,July,2007,2008,Mid point of prediction interval,-0.5
Wholesale poultry,July,2007,2008,Upper bound of prediction interval,18.6
Wholesale poultry,August,2007,2008,Lower bound of prediction interval,-13.7
Wholesale wheat flour,December,2007,2008,Mid point of prediction interval,35.2
Wholesale poultry,August,2007,2008,Mid point of prediction interval,2.5
Wholesale poultry,September,2007,2008,Lower bound of prediction interval,-14.5
Wholesale poultry,September,2007,2008,Mid point of prediction interval,0.0
Wholesale poultry,September,2007,2008,Upper bound of prediction interval,16.9
Wholesale poultry,October,2007,2008,Lower bound of prediction interval,-11.9
Wholesale poultry,October,2007,2008,Mid point of prediction interval,2.0
Wholesale poultry,October,2007,2008,Upper bound of prediction interval,18.4
Wholesale poultry,November,2007,2008,Lower bound of prediction interval,-16.4
Wholesale poultry,November,2007,2008,Mid point of prediction interval,-4.2
Wholesale poultry,November,2007,2008,Upper bound of prediction interval,10.1
Wholesale poultry,August,2007,2008,Upper bound of prediction interval,21.9
Wholesale wheat flour,December,2007,2008,Lower bound of prediction interval,13.6
Wholesale wheat flour,November,2007,2008,Upper bound of prediction interval,70.4
Wholesale wheat flour,November,2007,2008,Mid point of prediction interval,38.9
Farm-level milk,November,2007,2008,Lower bound of prediction interval,-16.7
Farm-level milk,November,2007,2008,Mid point of prediction interval,13.7
Farm-level milk,November,2007,2008,Upper bound of prediction interval,55.7
Farm-level milk,December,2007,2008,Lower bound of prediction interval,-13.7
Farm-level milk,December,2007,2008,Mid point of prediction interval,14.2
Farm-level milk,December,2007,2008,Upper bound of prediction interval,51.7
Farm-level wheat,December,2007,2008,Upper bound of prediction interval,67.7
Farm-level wheat,December,2007,2008,Mid point of prediction interval,26.9
Farm-level wheat,December,2007,2008,Lower bound of prediction interval,-3.7
Farm-level milk,October,2007,2008,Upper bound of prediction interval,58.2
Farm-level wheat,November,2007,2008,Upper bound of prediction interval,82.9
Farm-level wheat,November,2007,2008,Lower bound of prediction interval,0.2
Farm-level wheat,October,2007,2008,Upper bound of prediction interval,76.5
Farm-level wheat,October,2007,2008,Mid point of prediction interval,26.7
Farm-level wheat,October,2007,2008,Lower bound of prediction interval,-7.8
Farm-level wheat,September,2007,2008,Upper bound of prediction interval,58.3
Farm-level wheat,September,2007,2008,Mid point of prediction interval,13.2
Farm-level wheat,September,2007,2008,Lower bound of prediction interval,-18.1
Farm-level wheat,August,2007,2008,Upper bound of prediction interval,56.0
Farm-level wheat,August,2007,2008,Mid point of prediction interval,10.3
Farm-level wheat,November,2007,2008,Mid point of prediction interval,35.1
Wholesale pork,October,2007,2008,Upper bound of prediction interval,23.8
Farm-level milk,October,2007,2008,Mid point of prediction interval,12.8
Farm-level milk,September,2007,2008,Upper bound of prediction interval,54.5
Wholesale wheat flour,November,2007,2008,Lower bound of prediction interval,13.6
Wholesale wheat flour,October,2007,2008,Upper bound of prediction interval,59.5
Wholesale wheat flour,October,2007,2008,Mid point of prediction interval,30.5
Wholesale wheat flour,October,2007,2008,Lower bound of prediction interval,6.2
Wholesale wheat flour,September,2007,2008,Upper bound of prediction interval,23.4
Wholesale wheat flour,September,2007,2008,Mid point of prediction interval,4.4
Wholesale wheat flour,September,2007,2008,Lower bound of prediction interval,-11.3
Wholesale wheat flour,August,2007,2008,Upper bound of prediction interval,25.1
Wholesale wheat flour,August,2007,2008,Mid point of prediction interval,5.5
Farm-level milk,October,2007,2008,Lower bound of prediction interval,-18.8
Wholesale wheat flour,August,2007,2008,Lower bound of prediction interval,-11.0
Wholesale wheat flour,July,2007,2008,Mid point of prediction interval,5.0
Wholesale wheat flour,July,2007,2008,Lower bound of prediction interval,-12.4
Farm-level milk,July,2007,2008,Mid point of prediction interval,-10.4
Farm-level milk,July,2007,2008,Upper bound of prediction interval,10.7
Farm-level milk,August,2007,2008,Lower bound of prediction interval,-27.1
Farm-level milk,August,2007,2008,Mid point of prediction interval,6.5
Farm-level milk,August,2007,2008,Upper bound of prediction interval,57.6
Farm-level milk,September,2007,2008,Lower bound of prediction interval,-23.9
Farm-level milk,September,2007,2008,Mid point of prediction interval,7.6
Wholesale wheat flour,July,2007,2008,Upper bound of prediction interval,26.2
Farm-level vegetables,August,2007,2007,Lower bound of prediction interval,-3.9
Wholesale poultry,July,2007,2007,Upper bound of prediction interval,18.3
Farm-level vegetables,July,2007,2007,Mid point of prediction interval,5.3
Wholesale dairy,October,2007,2007,Upper bound of prediction interval,21.8
Wholesale dairy,November,2007,2007,Lower bound of prediction interval,17.7
Wholesale dairy,November,2007,2007,Mid point of prediction interval,18.7
Wholesale dairy,November,2007,2007,Upper bound of prediction interval,19.8
Wholesale dairy,December,2007,2007,Lower bound of prediction interval,18.7
Wholesale dairy,December,2007,2007,Mid point of prediction interval,19.1
Wholesale dairy,December,2007,2007,Upper bound of prediction interval,19.5
Wholesale poultry,January,2007,2007,Lower bound of prediction interval,-5.4
Wholesale beef,July,2007,2007,Lower bound of prediction interval,1.9
Wholesale beef,June,2007,2007,Upper bound of prediction interval,13.7
Wholesale beef,June,2007,2007,Mid point of prediction interval,7.2
Wholesale beef,June,2007,2007,Lower bound of prediction interval,1.4
Wholesale beef,May,2007,2007,Upper bound of prediction interval,13.9
Wholesale beef,May,2007,2007,Mid point of prediction interval,6.1
Wholesale beef,May,2007,2007,Lower bound of prediction interval,-0.6
Wholesale poultry,January,2007,2007,Mid point of prediction interval,5.6
Wholesale poultry,January,2007,2007,Upper bound of prediction interval,18.3
Wholesale poultry,February,2007,2007,Lower bound of prediction interval,-1.6
Wholesale poultry,February,2007,2007,Mid point of prediction interval,8.5
Wholesale dairy,October,2007,2007,Mid point of prediction interval,19.7
Wholesale dairy,October,2007,2007,Lower bound of prediction interval,17.8
Wholesale dairy,September,2007,2007,Upper bound of prediction interval,21.7
Wholesale dairy,September,2007,2007,Mid point of prediction interval,18.5
Wholesale beef,November,2007,2007,Mid point of prediction interval,3.1
Wholesale beef,November,2007,2007,Lower bound of prediction interval,1.9
Wholesale beef,October,2007,2007,Upper bound of prediction interval,6.9
Wholesale beef,October,2007,2007,Mid point of prediction interval,4.5
Farm-level vegetables,July,2007,2007,Upper bound of prediction interval,15.8
Wholesale beef,October,2007,2007,Lower bound of prediction interval,2.5
Wholesale beef,September,2007,2007,Upper bound of prediction interval,7.7
Wholesale beef,September,2007,2007,Mid point of prediction interval,4.4
Wholesale beef,September,2007,2007,Lower bound of prediction interval,1.4
Wholesale poultry,February,2007,2007,Upper bound of prediction interval,20.0
Wholesale beef,August,2007,2007,Upper bound of prediction interval,7.1
Wholesale beef,August,2007,2007,Lower bound of prediction interval,-0.7
Wholesale beef,July,2007,2007,Upper bound of prediction interval,12.0
Wholesale beef,July,2007,2007,Mid point of prediction interval,6.7
Wholesale dairy,July,2007,2007,Mid point of prediction interval,18.6
Wholesale dairy,July,2007,2007,Upper bound of prediction interval,24.7
Wholesale dairy,August,2007,2007,Lower bound of prediction interval,15.2
Wholesale dairy,August,2007,2007,Mid point of prediction interval,19.3
Wholesale dairy,August,2007,2007,Upper bound of prediction interval,23.9
Wholesale dairy,September,2007,2007,Lower bound of prediction interval,15.6
Wholesale beef,August,2007,2007,Mid point of prediction interval,3.0
Wholesale beef,November,2007,2007,Upper bound of prediction interval,4.3
Wholesale poultry,March,2007,2007,Lower bound of prediction interval,1.8
Wholesale poultry,March,2007,2007,Upper bound of prediction interval,20.7
Farm-level cattle,November,2007,2007,Upper bound of prediction interval,9.4
Farm-level cattle,November,2007,2007,Mid point of prediction interval,7.7
Farm-level cattle,November,2007,2007,Lower bound of prediction interval,6.1
Farm-level cattle,October,2007,2007,Upper bound of prediction interval,11.1
Farm-level cattle,October,2007,2007,Mid point of prediction interval,8.1
Farm-level cattle,October,2007,2007,Lower bound of prediction interval,5.5
Farm-level cattle,September,2007,2007,Upper bound of prediction interval,12.3
Farm-level cattle,September,2007,2007,Mid point of prediction interval,8.0
Farm-level cattle,September,2007,2007,Lower bound of prediction interval,4.3
Farm-level cattle,August,2007,2007,Upper bound of prediction interval,13.5
Farm-level cattle,August,2007,2007,Mid point of prediction interval,8.1
Farm-level cattle,August,2007,2007,Lower bound of prediction interval,3.4
Farm-level cattle,July,2007,2007,Upper bound of prediction interval,12.6
Farm-level cattle,July,2007,2007,Mid point of prediction interval,6.2
Farm-level cattle,July,2007,2007,Lower bound of prediction interval,0.6
